,,,,,,,
,,,,,,,
,,YTD Year 00,,,,,YTD Year 01
New lauch product,Segment,Values WAP 0 LC,,,New lauch product,Segment,Values WAP 0 LC
BRAND 954,MARKET 31,"2,246,122,692",,,BRAND 424,MARKET 08,"5,029,041,734"
BRAND 974,MARKET 108,"1,057,154,826",,,BRAND 425,MARKET 34,"5,010,535,083"
BRAND 980,MARKET 102,"1,825,110,804",,,BRAND 429,MARKET 10,"4,982,130,073"
BRAND 981,MARKET 16,"2,462,548,077",,,BRAND 430,MARKET 84,"4,980,683,134"
BRAND 991,MARKET 08,"1,754,428,451",,,BRAND 431,MARKET 33,"4,929,610,402"
BRAND 1017,MARKET 93,"4,440,567,200",,,BRAND 432,MARKET 19,"4,883,116,236"
BRAND 1022,MARKET 08,"1,336,197,204",,,BRAND 434,MARKET 72,"4,873,346,428"
BRAND 1033,MARKET 18,"1,025,705,021",,,BRAND 435,MARKET 21,"4,870,634,556"
BRAND 1034,MARKET 27,"6,342,379,771",,,BRAND 436,MARKET 48,"3,474,539,781"
BRAND 1038,MARKET 09,"1,654,841,466",,,BRAND 437,MARKET 09,"1,395,510,854"
BRAND 1047,MARKET 116,"8,837,740,723",,,BRAND 438,MARKET 26,"4,866,237,092"
BRAND 1054,MARKET 03,"1,384,586,406",,,BRAND 439,MARKET 03,"4,859,671,307"
BRAND 1056,MARKET 102,"1,191,223,722",,,BRAND 442,MARKET 154,"4,826,201,459"
