,,,,,,,
,,,,,,,
,,YTD Year 00,,,,,YTD Year 01
New lauch product,Segment,Values WAP 0 LC,,,New lauch product,Segment,Values WAP 0 LC
,,,,,BRAND 8341,MARKET 30,"30,125,200"
,,,,,BRAND 8342,MARKET 33,"30,095,683"
,,,,,BRAND 8343,MARKET 35,"30,091,862"
,,,,,BRAND 8344,MARKET 116,"30,073,472"
,,,,,BRAND 8345,MARKET 53,"30,071,912"
,,,,,BRAND 8346,MARKET 13,"30,036,992"
,,,,,BRAND 8347,MARKET 53,"30,028,190"
,,,,,BRAND 8348,MARKET 09,"30,025,215"
,,,,,BRAND 8349,MARKET 15,"30,004,922"
,,,,,BRAND 8350,MARKET 48,"29,974,618"
,,,,,BRAND 8351,MARKET 126,"29,968,794"
,,,,,BRAND 8352,MARKET 52,"29,944,441"
,,,,,BRAND 8353,MARKET 09,"29,917,513"
,,,,,BRAND 8354,MARKET 09,"29,914,466"
,,,,,BRAND 8355,MARKET 75,"29,908,440"
,,,,,BRAND 8356,MARKET 31,"29,907,306"
,,,,,BRAND 8357,MARKET 03,"29,867,117"
,,,,,BRAND 8358,MARKET 33,"29,770,646"
,,,,,BRAND 8359,MARKET 09,"29,764,180"
,,,,,BRAND 8360,MARKET 170,"29,741,008"
,,,,,BRAND 8361,MARKET 52,"29,738,016"
,,,,,BRAND 8362,MARKET 33,"29,700,427"
,,,,,BRAND 8363,MARKET 17,"29,670,509"
,,,,,BRAND 8364,MARKET 26,"29,666,287"
,,,,,BRAND 8365,MARKET 26,"29,648,173"
,,,,,BRAND 8366,MARKET 09,"29,617,644"
,,,,,BRAND 8367,MARKET 15,"29,609,280"
,,,,,BRAND 8368,MARKET 17,"29,502,000"
,,,,,BRAND 8369,MARKET 99,"29,498,069"
,,,,,BRAND 8370,MARKET 48,"29,392,482"
,,,,,BRAND 8371,MARKET 32,"29,350,139"
,,,,,BRAND 8372,MARKET 03,"29,343,917"
,,,,,BRAND 8373,MARKET 33,"29,340,837"
,,,,,BRAND 8374,MARKET 52,"29,321,471"
,,,,,BRAND 8375,MARKET 35,"29,300,138"
,,,,,BRAND 8376,MARKET 101,"29,297,565"
,,,,,BRAND 8377,MARKET 32,"29,245,601"
,,,,,BRAND 8378,MARKET 55,"29,241,410"
,,,,,BRAND 8379,MARKET 15,"29,237,153"
,,,,,BRAND 8380,MARKET 09,"29,213,602"
,,,,,BRAND 8381,MARKET 32,"29,191,680"
,,,,,BRAND 8382,MARKET 100,"29,158,844"
,,,,,BRAND 8383,MARKET 15,"29,136,557"
,,,,,BRAND 8384,MARKET 15,"29,068,686"
,,,,,BRAND 8385,MARKET 09,"29,027,174"
,,,,,BRAND 8386,MARKET 10,"28,978,703"
,,,,,BRAND 8387,MARKET 32,"28,860,114"
,,,,,BRAND 8388,MARKET 11,"28,852,598"
,,,,,BRAND 8389,MARKET 23,"28,793,952"
,,,,,BRAND 8390,MARKET 93,"28,791,038"
,,,,,BRAND 8391,MARKET 123,"28,775,338"
,,,,,BRAND 8392,MARKET 09,"28,748,720"
,,,,,BRAND 8393,MARKET 88,"28,747,688"
,,,,,BRAND 8394,MARKET 70,"28,717,542"
,,,,,BRAND 8395,MARKET 27,"28,703,149"
,,,,,BRAND 8396,MARKET 58,"28,684,251"
,,,,,BRAND 8397,MARKET 75,"28,683,990"
,,,,,BRAND 8398,MARKET 73,"28,670,400"
,,,,,BRAND 8399,MARKET 52,"28,669,848"
,,,,,BRAND 8400,MARKET 09,"28,669,596"
,,,,,BRAND 8401,MARKET 42,"28,655,550"
,,,,,BRAND 8402,MARKET 101,"28,645,302"
,,,,,BRAND 8403,MARKET 09,"28,630,250"
,,,,,BRAND 8404,MARKET 27,"28,604,910"
,,,,,BRAND 8405,MARKET 53,"28,599,971"
,,,,,BRAND 8406,MARKET 93,"28,574,374"
,,,,,BRAND 8407,MARKET 23,"28,568,329"
,,,,,BRAND 8408,MARKET 76,"28,559,735"
,,,,,BRAND 8409,MARKET 13,"28,557,760"
,,,,,BRAND 8410,MARKET 15,"28,546,224"
,,,,,BRAND 8411,MARKET 115,"28,507,161"
,,,,,BRAND 8412,MARKET 48,"28,477,326"
,,,,,BRAND 8413,MARKET 11,"28,448,448"
,,,,,BRAND 8414,MARKET 09,"28,442,310"
,,,,,BRAND 8415,MARKET 30,"28,337,299"
,,,,,BRAND 8416,MARKET 52,"28,337,006"
,,,,,BRAND 8417,MARKET 42,"28,324,759"
,,,,,BRAND 8418,MARKET 08,"28,297,742"
,,,,,BRAND 8419,MARKET 33,"28,251,975"
,,,,,BRAND 8420,MARKET 75,"28,154,295"
,,,,,BRAND 8421,MARKET 03,"28,117,879"
,,,,,BRAND 8422,MARKET 08,"28,116,550"
,,,,,BRAND 8423,MARKET 08,"28,111,406"
,,,,,BRAND 8424,MARKET 33,"28,089,383"
,,,,,BRAND 8425,MARKET 03,"28,081,164"
,,,,,BRAND 8426,MARKET 75,"28,039,440"
,,,,,BRAND 8427,MARKET 26,"28,034,880"
,,,,,BRAND 8428,MARKET 40,"27,997,042"
,,,,,BRAND 8429,MARKET 33,"27,973,465"
,,,,,BRAND 8430,MARKET 35,"27,924,350"
,,,,,BRAND 8431,MARKET 09,"27,853,384"
,,,,,BRAND 8432,MARKET 23,"27,821,645"
,,,,,BRAND 8433,MARKET 08,"27,820,920"
,,,,,BRAND 8434,MARKET 103,"27,813,600"
,,,,,BRAND 8435,MARKET 70,"27,720,888"
,,,,,BRAND 8436,MARKET 33,"27,714,372"
,,,,,BRAND 8437,MARKET 103,"27,695,606"
,,,,,BRAND 8438,MARKET 55,"27,638,983"
,,,,,BRAND 8439,MARKET 48,"27,609,700"
,,,,,BRAND 8440,MARKET 11,"27,605,214"
,,,,,BRAND 8441,MARKET 18,"27,580,834"
,,,,,BRAND 8442,MARKET 40,"27,566,698"
,,,,,BRAND 8443,MARKET 39,"27,541,981"
,,,,,BRAND 8444,MARKET 40,"27,538,524"
,,,,,BRAND 8445,MARKET 40,"27,538,524"
,,,,,BRAND 8446,MARKET 106,"27,517,320"
,,,,,BRAND 8447,MARKET 32,"27,450,240"
,,,,,BRAND 8448,MARKET 37,"27,431,570"
,,,,,BRAND 8449,MARKET 11,"27,422,569"
,,,,,BRAND 8450,MARKET 55,"27,403,320"
,,,,,BRAND 8451,MARKET 156,"27,393,538"
,,,,,BRAND 8452,MARKET 103,"27,344,394"
,,,,,BRAND 8453,MARKET 52,"27,331,036"
,,,,,BRAND 8454,MARKET 11,"27,304,618"
,,,,,BRAND 8455,MARKET 100,"27,297,341"
,,,,,BRAND 8456,MARKET 03,"27,289,251"
,,,,,BRAND 8457,MARKET 13,"27,279,552"
,,,,,BRAND 8458,MARKET 09,"27,269,186"
,,,,,BRAND 8459,MARKET 100,"27,269,186"
,,,,,BRAND 8460,MARKET 23,"27,259,556"
,,,,,BRAND 8461,MARKET 10,"27,210,816"
,,,,,BRAND 8462,MARKET 13,"27,205,272"
,,,,,BRAND 8463,MARKET 13,"27,205,114"
,,,,,BRAND 8464,MARKET 13,"27,205,114"
,,,,,BRAND 8465,MARKET 01,"27,099,299"
,,,,,BRAND 8466,MARKET 53,"27,081,683"
,,,,,BRAND 8467,MARKET 40,"27,070,437"
,,,,,BRAND 8468,MARKET 11,"27,064,721"
,,,,,BRAND 8469,MARKET 82,"27,054,465"
,,,,,BRAND 8470,MARKET 10,"27,052,714"
,,,,,BRAND 8471,MARKET 27,"27,047,085"
,,,,,BRAND 8472,MARKET 194,"27,042,912"
,,,,,BRAND 8473,MARKET 194,"27,040,864"
,,,,,BRAND 8474,MARKET 11,"26,958,100"
,,,,,BRAND 8475,MARKET 11,"26,940,672"
,,,,,BRAND 8476,MARKET 88,"26,912,194"
,,,,,BRAND 8477,MARKET 17,"26,910,400"
,,,,,BRAND 8478,MARKET 40,"26,892,000"
,,,,,BRAND 8479,MARKET 156,"26,890,250"
,,,,,BRAND 8480,MARKET 31,"26,785,939"
,,,,,BRAND 8481,MARKET 42,"26,782,828"
,,,,,BRAND 8482,MARKET 170,"26,779,766"
,,,,,BRAND 8483,MARKET 09,"26,770,590"
,,,,,BRAND 8484,MARKET 31,"26,764,647"
,,,,,BRAND 8485,MARKET 13,"26,718,492"
,,,,,BRAND 8486,MARKET 09,"26,706,572"
,,,,,BRAND 8487,MARKET 32,"26,703,664"
,,,,,BRAND 8488,MARKET 03,"26,676,288"
,,,,,BRAND 8489,MARKET 10,"26,664,947"
,,,,,BRAND 8490,MARKET 34,"26,659,258"
,,,,,BRAND 8491,MARKET 10,"26,655,200"
,,,,,BRAND 8492,MARKET 90,"26,655,200"
,,,,,BRAND 8493,MARKET 09,"26,634,261"
,,,,,BRAND 8494,MARKET 245,"26,622,351"
,,,,,BRAND 8495,MARKET 13,"26,611,200"
,,,,,BRAND 8496,MARKET 187,"26,502,336"
,,,,,BRAND 8497,MARKET 31,"26,465,768"
,,,,,BRAND 8498,MARKET 93,"26,459,619"
,,,,,BRAND 8499,MARKET 15,"26,436,727"
,,,,,BRAND 8500,MARKET 15,"26,433,792"
,,,,,BRAND 8501,MARKET 62,"26,388,464"
,,,,,BRAND 8502,MARKET 102,"26,359,826"
,,,,,BRAND 8503,MARKET 09,"26,348,220"
,,,,,BRAND 8504,MARKET 08,"26,342,630"
,,,,,BRAND 8505,MARKET 24,"26,341,268"
,,,,,BRAND 8506,MARKET 01,"26,312,923"
,,,,,BRAND 8507,MARKET 09,"26,309,414"
,,,,,BRAND 8508,MARKET 09,"26,297,600"
,,,,,BRAND 8509,MARKET 49,"26,260,662"
,,,,,BRAND 8510,MARKET 23,"26,211,592"
,,,,,BRAND 8511,MARKET 88,"26,194,964"
,,,,,BRAND 8512,MARKET 03,"26,191,824"
,,,,,BRAND 8513,MARKET 11,"26,173,296"
,,,,,BRAND 8514,MARKET 10,"26,159,558"
,,,,,BRAND 8515,MARKET 106,"26,137,847"
,,,,,BRAND 8516,MARKET 75,"26,129,559"
,,,,,BRAND 8517,MARKET 102,"26,111,822"
,,,,,BRAND 8518,MARKET 48,"26,108,364"
,,,,,BRAND 8519,MARKET 15,"26,083,200"
,,,,,BRAND 8520,MARKET 88,"26,077,032"
,,,,,BRAND 8521,MARKET 11,"26,064,285"
,,,,,BRAND 8522,MARKET 32,"26,036,072"
,,,,,BRAND 8523,MARKET 174,"26,014,800"
,,,,,BRAND 8524,MARKET 03,"25,981,360"
,,,,,BRAND 8525,MARKET 22,"25,980,113"
,,,,,BRAND 8526,MARKET 15,"25,978,276"
,,,,,BRAND 8527,MARKET 35,"25,967,220"
,,,,,BRAND 8528,MARKET 10,"25,959,729"
,,,,,BRAND 8529,MARKET 131,"25,913,004"
,,,,,BRAND 8530,MARKET 10,"25,908,120"
,,,,,BRAND 8532,MARKET 30,"25,840,836"
,,,,,BRAND 8533,MARKET 102,"25,803,360"
,,,,,BRAND 8534,MARKET 15,"25,803,360"
,,,,,BRAND 8535,MARKET 30,"25,800,082"
,,,,,BRAND 8536,MARKET 131,"25,787,694"
,,,,,BRAND 8537,MARKET 33,"25,762,579"
,,,,,BRAND 8538,MARKET 75,"25,716,075"
,,,,,BRAND 8539,MARKET 48,"25,705,005"
,,,,,BRAND 8540,MARKET 106,"25,678,541"
,,,,,BRAND 8541,MARKET 15,"25,588,992"
,,,,,BRAND 8542,MARKET 72,"25,588,992"
,,,,,BRAND 8543,MARKET 08,"25,565,092"
,,,,,BRAND 8544,MARKET 75,"25,552,028"
,,,,,BRAND 8545,MARKET 08,"25,547,307"
,,,,,BRAND 8546,MARKET 17,"25,538,004"
,,,,,BRAND 8547,MARKET 48,"25,537,050"
,,,,,BRAND 8548,MARKET 27,"25,484,287"
,,,,,BRAND 8549,MARKET 09,"25,438,628"
,,,,,BRAND 8550,MARKET 08,"25,397,388"
,,,,,BRAND 8551,MARKET 40,"25,268,746"
,,,,,BRAND 8552,MARKET 23,"25,262,874"
,,,,,BRAND 8553,MARKET 11,"25,192,014"
,,,,,BRAND 8554,MARKET 17,"25,187,553"
,,,,,BRAND 8555,MARKET 03,"25,181,021"
,,,,,BRAND 8556,MARKET 13,"25,120,973"
,,,,,BRAND 8557,MARKET 100,"25,117,132"
,,,,,BRAND 8558,MARKET 55,"25,095,533"
,,,,,BRAND 8559,MARKET 48,"25,070,964"
,,,,,BRAND 8560,MARKET 15,"25,051,556"
,,,,,BRAND 8561,MARKET 23,"25,037,355"
,,,,,BRAND 8562,MARKET 17,"25,016,488"
,,,,,BRAND 8563,MARKET 18,"24,969,848"
,,,,,BRAND 8564,MARKET 52,"24,969,420"
,,,,,BRAND 8565,MARKET 32,"24,934,728"
,,,,,BRAND 8566,MARKET 09,"24,927,280"
,,,,,BRAND 8567,MARKET 31,"24,900,564"
,,,,,BRAND 8568,MARKET 42,"24,898,445"
,,,,,BRAND 8569,MARKET 123,"24,894,909"
,,,,,BRAND 8570,MARKET 30,"24,889,237"
,,,,,BRAND 8571,MARKET 48,"24,861,514"
,,,,,BRAND 8572,MARKET 76,"24,809,327"
,,,,,BRAND 8573,MARKET 103,"24,800,460"
,,,,,BRAND 8574,MARKET 181,"24,775,825"
,,,,,BRAND 8575,MARKET 11,"24,773,699"
,,,,,BRAND 8576,MARKET 09,"24,751,125"
,,,,,BRAND 8577,MARKET 23,"24,736,026"
,,,,,BRAND 8578,MARKET 132,"24,708,062"
,,,,,BRAND 8579,MARKET 09,"24,694,942"
,,,,,BRAND 8580,MARKET 55,"24,692,514"
,,,,,BRAND 8581,MARKET 55,"24,668,644"
,,,,,BRAND 8582,MARKET 09,"24,668,012"
,,,,,BRAND 8583,MARKET 13,"24,650,513"
,,,,,BRAND 8584,MARKET 73,"24,650,002"
,,,,,BRAND 8585,MARKET 31,"24,649,396"
,,,,,BRAND 8586,MARKET 11,"24,640,875"
,,,,,BRAND 8587,MARKET 23,"24,639,779"
,,,,,BRAND 8588,MARKET 33,"24,639,514"
,,,,,BRAND 8589,MARKET 102,"24,612,714"
,,,,,BRAND 8590,MARKET 55,"24,606,510"
,,,,,BRAND 8591,MARKET 106,"24,530,000"
,,,,,BRAND 8592,MARKET 11,"24,515,492"
,,,,,BRAND 8593,MARKET 13,"24,478,675"
,,,,,BRAND 8594,MARKET 13,"24,449,040"
,,,,,BRAND 8595,MARKET 72,"24,434,710"
,,,,,BRAND 8596,MARKET 17,"24,414,238"
,,,,,BRAND 8597,MARKET 11,"24,411,542"
,,,,,BRAND 8598,MARKET 08,"24,403,071"
,,,,,BRAND 8599,MARKET 102,"24,355,930"
,,,,,BRAND 8600,MARKET 165,"24,345,600"
,,,,,BRAND 8601,MARKET 09,"24,336,900"
,,,,,BRAND 8602,MARKET 08,"24,325,792"
,,,,,BRAND 8603,MARKET 15,"24,313,485"
,,,,,BRAND 8604,MARKET 88,"24,311,360"
,,,,,BRAND 8605,MARKET 48,"24,301,673"
,,,,,BRAND 8606,MARKET 13,"24,287,760"
,,,,,BRAND 8607,MARKET 09,"24,247,325"
,,,,,BRAND 8608,MARKET 37,"24,244,403"
,,,,,BRAND 8609,MARKET 23,"24,227,863"
,,,,,BRAND 8610,MARKET 15,"24,192,822"
,,,,,BRAND 8611,MARKET 48,"24,182,228"
,,,,,BRAND 8612,MARKET 62,"24,172,541"
,,,,,BRAND 8613,MARKET 13,"24,157,000"
,,,,,BRAND 8614,MARKET 48,"24,151,766"
,,,,,BRAND 8615,MARKET 55,"24,117,080"
,,,,,BRAND 8616,MARKET 70,"24,116,614"
,,,,,BRAND 8617,MARKET 08,"24,091,254"
,,,,,BRAND 8618,MARKET 53,"24,089,785"
,,,,,BRAND 8619,MARKET 76,"24,081,082"
,,,,,BRAND 8620,MARKET 48,"24,052,422"
,,,,,BRAND 8621,MARKET 13,"24,012,000"
,,,,,BRAND 8622,MARKET 09,"23,972,121"
,,,,,BRAND 8623,MARKET 29,"23,971,311"
,,,,,BRAND 8624,MARKET 09,"23,951,459"
,,,,,BRAND 8625,MARKET 23,"23,913,340"
,,,,,BRAND 8626,MARKET 08,"23,899,622"
,,,,,BRAND 8627,MARKET 101,"23,882,406"
,,,,,BRAND 8628,MARKET 15,"23,851,428"
,,,,,BRAND 8629,MARKET 09,"23,837,863"
,,,,,BRAND 8630,MARKET 10,"23,801,490"
,,,,,BRAND 8631,MARKET 11,"23,790,404"
,,,,,BRAND 8632,MARKET 31,"23,770,328"
,,,,,BRAND 8633,MARKET 102,"23,760,399"
,,,,,BRAND 8634,MARKET 03,"23,695,031"
,,,,,BRAND 8635,MARKET 156,"23,681,631"
,,,,,BRAND 8636,MARKET 35,"23,677,610"
,,,,,BRAND 8637,MARKET 93,"23,657,654"
,,,,,BRAND 8638,MARKET 15,"23,655,240"
,,,,,BRAND 8639,MARKET 93,"23,652,298"
,,,,,BRAND 8640,MARKET 102,"23,613,100"
,,,,,BRAND 8641,MARKET 68,"23,601,600"
,,,,,BRAND 8642,MARKET 156,"23,599,924"
,,,,,BRAND 8643,MARKET 08,"23,588,646"
,,,,,BRAND 8644,MARKET 76,"23,550,002"
,,,,,BRAND 8645,MARKET 09,"23,512,310"
,,,,,BRAND 8646,MARKET 62,"23,486,112"
,,,,,BRAND 8647,MARKET 23,"23,477,173"
,,,,,BRAND 8648,MARKET 13,"23,457,336"
,,,,,BRAND 8649,MARKET 18,"23,454,293"
,,,,,BRAND 8650,MARKET 03,"23,447,221"
,,,,,BRAND 8651,MARKET 15,"23,419,429"
,,,,,BRAND 8652,MARKET 19,"23,417,856"
,,,,,BRAND 8653,MARKET 53,"23,407,036"
,,,,,BRAND 8654,MARKET 33,"23,403,279"
,,,,,BRAND 8655,MARKET 74,"23,400,812"
,,,,,BRAND 8656,MARKET 08,"23,370,745"
,,,,,BRAND 8657,MARKET 27,"23,370,547"
,,,,,BRAND 8658,MARKET 03,"23,341,752"
,,,,,BRAND 8659,MARKET 03,"23,289,964"
,,,,,BRAND 8660,MARKET 174,"23,280,096"
,,,,,BRAND 8661,MARKET 17,"23,277,807"
,,,,,BRAND 8662,MARKET 170,"23,237,907"
,,,,,BRAND 8663,MARKET 33,"23,172,160"
,,,,,BRAND 8664,MARKET 31,"23,164,555"
,,,,,BRAND 8665,MARKET 75,"23,158,861"
,,,,,BRAND 8666,MARKET 106,"23,140,416"
,,,,,BRAND 8667,MARKET 40,"23,122,772"
,,,,,BRAND 8668,MARKET 118,"23,112,818"
,,,,,BRAND 8669,MARKET 187,"23,110,080"
,,,,,BRAND 8670,MARKET 17,"23,086,511"
,,,,,BRAND 8671,MARKET 23,"23,084,886"
,,,,,BRAND 8672,MARKET 123,"23,019,487"
,,,,,BRAND 8673,MARKET 30,"22,979,554"
,,,,,BRAND 8674,MARKET 88,"22,938,938"
,,,,,BRAND 8675,MARKET 23,"22,923,472"
,,,,,BRAND 8676,MARKET 11,"22,913,712"
,,,,,BRAND 8677,MARKET 170,"22,867,236"
,,,,,BRAND 8678,MARKET 37,"22,866,800"
,,,,,BRAND 8679,MARKET 52,"22,856,834"
,,,,,BRAND 8680,MARKET 106,"22,838,660"
,,,,,BRAND 8681,MARKET 20,"22,815,696"
,,,,,BRAND 8682,MARKET 11,"22,791,552"
,,,,,BRAND 8683,MARKET 106,"22,753,848"
,,,,,BRAND 8684,MARKET 11,"22,753,848"
,,,,,BRAND 8685,MARKET 03,"22,743,918"
,,,,,BRAND 8686,MARKET 17,"22,739,427"
,,,,,BRAND 8687,MARKET 131,"22,734,375"
,,,,,BRAND 8688,MARKET 33,"22,716,288"
,,,,,BRAND 8689,MARKET 42,"22,711,641"
,,,,,BRAND 8690,MARKET 32,"22,708,659"
,,,,,BRAND 8691,MARKET 11,"22,707,204"
,,,,,BRAND 8692,MARKET 53,"22,687,210"
,,,,,BRAND 8693,MARKET 08,"22,685,619"
,,,,,BRAND 8694,MARKET 11,"22,679,748"
,,,,,BRAND 8695,MARKET 89,"22,657,536"
,,,,,BRAND 8696,MARKET 106,"22,647,843"
,,,,,BRAND 8697,MARKET 90,"22,644,485"
,,,,,BRAND 8698,MARKET 48,"22,641,111"
,,,,,BRAND 8699,MARKET 48,"22,579,188"
,,,,,BRAND 8700,MARKET 48,"22,577,925"
,,,,,BRAND 8701,MARKET 08,"22,562,144"
,,,,,BRAND 8702,MARKET 11,"22,553,934"
,,,,,BRAND 8703,MARKET 48,"22,520,746"
,,,,,BRAND 8704,MARKET 55,"22,498,330"
,,,,,BRAND 8705,MARKET 33,"22,464,792"
,,,,,BRAND 8706,MARKET 33,"22,457,600"
,,,,,BRAND 8707,MARKET 32,"22,444,981"
,,,,,BRAND 8708,MARKET 62,"22,434,960"
,,,,,BRAND 8709,MARKET 42,"22,425,691"
,,,,,BRAND 8710,MARKET 112,"22,421,520"
,,,,,BRAND 8711,MARKET 17,"22,375,920"
,,,,,BRAND 8712,MARKET 39,"22,371,552"
,,,,,BRAND 8713,MARKET 37,"22,303,628"
,,,,,BRAND 8714,MARKET 18,"22,294,103"
,,,,,BRAND 8715,MARKET 55,"22,230,585"
,,,,,BRAND 8716,MARKET 33,"22,220,003"
,,,,,BRAND 8717,MARKET 23,"22,219,120"
,,,,,BRAND 8718,MARKET 09,"22,214,119"
,,,,,BRAND 8719,MARKET 53,"22,181,980"
,,,,,BRAND 8720,MARKET 09,"22,158,684"
,,,,,BRAND 8721,MARKET 24,"22,148,959"
,,,,,BRAND 8722,MARKET 101,"22,105,860"
,,,,,BRAND 8723,MARKET 23,"22,103,908"
,,,,,BRAND 8724,MARKET 102,"22,050,000"
,,,,,BRAND 8725,MARKET 10,"22,049,691"
,,,,,BRAND 8726,MARKET 02,"22,028,832"
,,,,,BRAND 8727,MARKET 72,"21,975,638"
,,,,,BRAND 8728,MARKET 33,"21,956,951"
,,,,,BRAND 8729,MARKET 15,"21,954,622"
,,,,,BRAND 8730,MARKET 10,"21,891,673"
,,,,,BRAND 8731,MARKET 48,"21,805,859"
,,,,,BRAND 8732,MARKET 52,"21,802,136"
,,,,,BRAND 8733,MARKET 23,"21,789,504"
,,,,,BRAND 8734,MARKET 103,"21,778,175"
,,,,,BRAND 8735,MARKET 23,"21,759,608"
,,,,,BRAND 8736,MARKET 155,"21,718,713"
,,,,,BRAND 8737,MARKET 40,"21,706,683"
,,,,,BRAND 8738,MARKET 35,"21,705,372"
,,,,,BRAND 8739,MARKET 09,"21,697,073"
,,,,,BRAND 8740,MARKET 30,"21,682,123"
,,,,,BRAND 8741,MARKET 70,"21,640,993"
,,,,,BRAND 8742,MARKET 13,"21,634,000"
,,,,,BRAND 8743,MARKET 27,"21,622,907"
,,,,,BRAND 8744,MARKET 09,"21,613,997"
,,,,,BRAND 8745,MARKET 48,"21,611,018"
,,,,,BRAND 8746,MARKET 13,"21,608,294"
,,,,,BRAND 8747,MARKET 11,"21,588,091"
,,,,,BRAND 8748,MARKET 23,"21,526,982"
,,,,,BRAND 8749,MARKET 09,"21,502,800"
,,,,,BRAND 8750,MARKET 187,"21,476,690"
,,,,,BRAND 8751,MARKET 74,"21,448,166"
,,,,,BRAND 8752,MARKET 30,"21,436,731"
,,,,,BRAND 8753,MARKET 133,"21,420,064"
,,,,,BRAND 8754,MARKET 30,"21,415,357"
,,,,,BRAND 8755,MARKET 74,"21,392,467"
,,,,,BRAND 8756,MARKET 194,"21,383,364"
,,,,,BRAND 8757,MARKET 37,"21,361,340"
,,,,,BRAND 8758,MARKET 106,"21,360,975"
,,,,,BRAND 8759,MARKET 35,"21,342,464"
,,,,,BRAND 8760,MARKET 100,"21,336,336"
,,,,,BRAND 8761,MARKET 31,"21,265,858"
,,,,,BRAND 8762,MARKET 11,"21,251,008"
,,,,,BRAND 8763,MARKET 27,"21,243,936"
,,,,,BRAND 8764,MARKET 35,"21,241,594"
,,,,,BRAND 8765,MARKET 09,"21,209,472"
,,,,,BRAND 8766,MARKET 106,"21,209,058"
,,,,,BRAND 8767,MARKET 93,"21,190,167"
,,,,,BRAND 8768,MARKET 136,"21,184,642"
,,,,,BRAND 8769,MARKET 09,"21,143,164"
,,,,,BRAND 8770,MARKET 13,"21,137,501"
,,,,,BRAND 8771,MARKET 01,"21,110,918"
,,,,,BRAND 8772,MARKET 70,"21,106,983"
,,,,,BRAND 8773,MARKET 09,"21,097,444"
,,,,,BRAND 8774,MARKET 76,"21,087,462"
,,,,,BRAND 8775,MARKET 48,"21,079,559"
,,,,,BRAND 8776,MARKET 13,"21,023,730"
,,,,,BRAND 8777,MARKET 03,"21,014,785"
,,,,,BRAND 8778,MARKET 09,"21,012,753"
,,,,,BRAND 8779,MARKET 166,"20,993,421"
,,,,,BRAND 8780,MARKET 133,"20,985,633"
,,,,,BRAND 8781,MARKET 27,"20,951,784"
,,,,,BRAND 8782,MARKET 03,"20,929,860"
,,,,,BRAND 8783,MARKET 09,"20,912,175"
,,,,,BRAND 8784,MARKET 31,"20,912,175"
,,,,,BRAND 8785,MARKET 184,"20,875,451"
,,,,,BRAND 8786,MARKET 23,"20,861,626"
,,,,,BRAND 8787,MARKET 48,"20,849,624"
,,,,,BRAND 8788,MARKET 30,"20,839,261"
,,,,,BRAND 8789,MARKET 11,"20,834,604"
,,,,,BRAND 8790,MARKET 19,"20,811,144"
,,,,,BRAND 8791,MARKET 13,"20,772,700"
,,,,,BRAND 8792,MARKET 53,"20,701,688"
,,,,,BRAND 8793,MARKET 112,"20,695,500"
,,,,,BRAND 8794,MARKET 23,"20,690,313"
,,,,,BRAND 8795,MARKET 13,"20,666,502"
,,,,,BRAND 8796,MARKET 72,"20,651,400"
,,,,,BRAND 8797,MARKET 13,"20,650,291"
,,,,,BRAND 8798,MARKET 67,"20,639,083"
,,,,,BRAND 8799,MARKET 102,"20,621,034"
,,,,,BRAND 8800,MARKET 13,"20,596,032"
,,,,,BRAND 8801,MARKET 11,"20,554,794"
,,,,,BRAND 8802,MARKET 15,"20,553,562"
,,,,,BRAND 8803,MARKET 100,"20,534,063"
,,,,,BRAND 8804,MARKET 137,"20,526,534"
,,,,,BRAND 8805,MARKET 15,"20,521,475"
,,,,,BRAND 8806,MARKET 132,"20,498,400"
,,,,,BRAND 8807,MARKET 89,"20,495,376"
,,,,,BRAND 8808,MARKET 42,"20,490,763"
,,,,,BRAND 8809,MARKET 11,"20,488,156"
,,,,,BRAND 8810,MARKET 72,"20,478,463"
,,,,,BRAND 8811,MARKET 17,"20,425,743"
,,,,,BRAND 8812,MARKET 03,"20,380,840"
,,,,,BRAND 8813,MARKET 30,"20,368,612"
,,,,,BRAND 8814,MARKET 67,"20,346,883"
,,,,,BRAND 8815,MARKET 53,"20,337,748"
,,,,,BRAND 8816,MARKET 15,"20,287,654"
,,,,,BRAND 8817,MARKET 13,"20,275,920"
,,,,,BRAND 8818,MARKET 08,"20,271,493"
,,,,,BRAND 8819,MARKET 01,"20,248,301"
,,,,,BRAND 8820,MARKET 03,"20,238,114"
,,,,,BRAND 8821,MARKET 174,"20,223,792"
,,,,,BRAND 8822,MARKET 33,"20,217,496"
,,,,,BRAND 8823,MARKET 23,"20,212,632"
,,,,,BRAND 8824,MARKET 20,"20,203,139"
,,,,,BRAND 8825,MARKET 237,"20,170,650"
,,,,,BRAND 8826,MARKET 53,"20,154,070"
,,,,,BRAND 8827,MARKET 106,"20,152,434"
,,,,,BRAND 8828,MARKET 39,"20,146,500"
,,,,,BRAND 8829,MARKET 90,"20,132,842"
,,,,,BRAND 8830,MARKET 13,"20,127,015"
,,,,,BRAND 8831,MARKET 306,"20,119,395"
,,,,,BRAND 8832,MARKET 40,"20,114,276"
,,,,,BRAND 8833,MARKET 84,"20,103,213"
,,,,,BRAND 8834,MARKET 15,"20,092,457"
,,,,,BRAND 8835,MARKET 35,"20,078,613"
,,,,,BRAND 8836,MARKET 15,"20,070,144"
,,,,,BRAND 8837,MARKET 10,"20,046,003"
,,,,,BRAND 8838,MARKET 55,"20,012,970"
